codigo_ibge,nome,lat,lon
2200053,Acauã,-8.330332904499954,-40.984256946299695
2200103,Agricolândia,-5.76815571999995,-42.67202000500452
2200202,Água Branca,-5.90537988849994,-42.63181908135666
2200251,Alagoinha do Piauí,-6.954600188499935,-40.91091075113765
2200277,Alegrete do Piauí,-7.200246751499945,-40.7902029238347
2200301,Alto Longá,-5.395647537999935,-42.15669905087113
2200400,Altos,-5.02428270699997,-42.47366814892045
2200459,Alvorada do Gurguéia,-8.441318515499946,-44.03085322818713
2200509,Amarante,-6.400994602499965,-42.746856294830046
2200608,Angical do Piauí,-6.089363999999935,-42.74788775384965
2200707,Anísio de Abreu,-9.235035223499949,-43.04476370448447
2200806,Antônio Almeida,-7.235506362499935,-44.21217179506101
2200905,Aroazes,-6.12541800699995,-41.868497924175685
2200954,Aroeiras do Itaim,-7.241998777999955,-41.53330397452156
2201002,Arraial,-6.643974583499954,-42.49686956963657
2201051,Assunção do Piauí,-5.8796855149999505,-41.07675080960995
2201101,Avelino Lopes,-10.200499001999901,-43.93805564716014
2201150,Baixa Grande do Ribeiro,-8.51535353699995,-45.119410940632434
2201176,Barra D'Alcântara,-6.53841859299996,-42.10549523479192
2201200,Barras,-4.154419571499945,-42.450561540102214
2201309,Barreiras do Piauí,-10.025343999999901,-45.71160906169719
2201408,Barro Duro,-5.808047834499975,-42.49504400618469
2201507,Batalha,-3.962639395499965,-42.05178536622239
2201556,Bela Vista do Piauí,-7.993089512999941,-41.85987313127286
2201572,Belém do Piauí,-7.38408663849995,-40.9752488307751
2201606,Beneditinos,-5.51457549999995,-42.37149080692785
2201705,Bertolínia,-7.746414698499965,-43.89055543598491
2201739,Betânia do Piauí,-8.13376599999995,-40.76044969285857
2201770,Boa Hora,-4.373950807999935,-42.12665660821084
2201804,Bocaina,-6.90391856149995,-41.31068907071277
2201903,Bom Jesus,-9.25586794099996,-44.624501515731495
2201919,Bom Princípio do Piauí,-3.1543721574999504,-41.60358203110895
2201929,Bonfim do Piauí,-9.18799914449994,-42.87164710660952
2201945,Boqueirão do Piauí,-4.53828349999995,-42.092344671041175
2201960,Brasileira,-4.127693324499945,-41.47428735743706
2201988,Brejo do Piauí,-8.365233239999956,-42.75790407187924
2202000,Buriti dos Lopes,-3.27113364999997,-41.72977759099538
2202026,Buriti dos Montes,-5.116820282999949,-41.227736097092944
2202059,Cabeceiras do Piauí,-4.44270654749994,-42.30475616227764
2202075,Cajazeiras do Piauí,-6.786278200999955,-42.44880725105908
2202083,Cajueiro da Praia,-2.991102481999945,-41.35321099065341
2202091,Caldeirão Grande do Piauí,-7.3236078384999495,-40.630568160017546
2202109,Campinas do Piauí,-7.67863938349993,-41.85957388186714
2202117,Campo Alegre do Fidalgo,-8.235042142999959,-41.850819511508625
2202133,Campo Grande do Piauí,-7.1825761369999555,-41.06855850570893
2202174,Campo Largo do Piauí,-3.86847149999997,-42.57820780063595
2202208,Campo Maior,-4.859554392499945,-42.22025246634877
2202251,Canavieira,-7.611175376499945,-43.60760550018985
2202307,Canto do Buriti,-8.31613277349996,-43.376527157502814
2202406,Capitão de Campos,-4.525468681999935,-41.917821812576705
2202455,Capitão Gervásio Oliveira,-8.53380190099995,-41.9298926057374
2202505,Caracol,-9.075935050499965,-43.329971264308156
2202539,Caraúbas do Piauí,-3.58701413299994,-41.854507428974486
2202554,Caridade do Piauí,-7.709968237499935,-40.94618754586507
2202604,Castelo do Piauí,-5.306509750499945,-41.56174536644149
2202653,Caxingó,-3.39146407049995,-41.84465949403831
2202703,Cocal,-3.43178828349994,-41.49870326022711
2202711,Cocal de Telha,-4.614077780499965,-41.941472456715765
2202729,Cocal dos Alves,-3.636849710499945,-41.4167570932736
2202737,Coivaras,-5.118074359999955,-42.28503159976216
2202752,Colônia do Gurguéia,-8.15390430549996,-43.62513256308437
2202778,Colônia do Piauí,-7.27338472149995,-42.19368945100791
2202802,Conceição do Canindé,-7.914848316499954,-41.61162135169709
2202851,Coronel José Dias,-8.963003543499951,-42.283650173484915
2202901,Corrente,-10.38625817349995,-45.11865430620737
2203008,Cristalândia do Piauí,-10.7581579635,-45.103541418438866
2203107,Cristino Castro,-8.806711519999965,-44.039734345855706
2203206,Curimatá,-9.974752999999936,-44.28140042353502
2203230,Currais,-8.733033634499945,-44.64839889767009
2203255,Curralinhos,-5.600870329499941,-42.84477542311562
2203271,Curral Novo do Piauí,-7.888443207999955,-40.808169310055376
2203305,Demerval Lobão,-5.324861962999959,-42.6667866148467
2203354,Dirceu Arcoverde,-9.34417252149996,-42.53372161993718
2203404,Dom Expedito Lopes,-6.97579309599996,-41.69835232774177
2203420,Domingos Mourão,-4.29209269349994,-41.30649430875091
2203453,Dom Inocêncio,-8.923294758499964,-41.88311578622416
2203503,Elesbão Veloso,-6.19928693799997,-42.187641792605945
2203602,Eliseu Martins,-7.94014707599996,-43.659151197500734
2203701,Esperantina,-3.79479117049996,-42.16734098086076
2203750,Fartura do Piauí,-9.48350373599996,-42.78594671207445
2203800,Flores do Piauí,-7.64635256649996,-42.82445155125564
2203859,Floresta do Piauí,-7.445623309499955,-41.807256024234775
2203909,Floriano,-7.0124916359999645,-43.08743595958789
2204006,Francinópolis,-6.41889958099995,-42.21456177077316
2204105,Francisco Ayres,-6.677650960999955,-42.72552388248393
2204154,Francisco Macedo,-7.333545206499965,-40.7877118866563
2204204,Francisco Santos,-7.03916405099997,-41.13887628971496
2204303,Fronteiras,-7.083081670999945,-40.60148257700669
2204352,Geminiano,-7.19586357149993,-41.34957750903361
2204402,Gilbués,-9.577999281499956,-45.5559481580054
2204501,Guadalupe,-6.84202527599996,-43.667374310108215
2204550,Guaribas,-9.085987518499959,-43.66105913907025
2204600,Hugo Napoleão,-6.04332511449996,-42.5028741452189
2204659,Ilha Grande,-2.82838593599996,-41.80593809507526
2204709,Inhuma,-6.6788946989999545,-41.699588611139134
2204808,Ipiranga do Piauí,-6.794480582499975,-41.80779956946785
2204907,Isaías Coelho,-7.61126633999996,-41.686914573646746
2205003,Itainópolis,-7.404975455999935,-41.49154701160382
2205102,Itaueira,-7.46728281649996,-43.10302761390486
2205151,Jacobina do Piauí,-7.91212723349994,-41.27340664606237
2205201,Jaicós,-7.40909666099995,-41.17572571231463
2205250,Jardim do Mulato,-6.13487349999994,-42.568497973517864
2205276,Jatobá do Piauí,-4.85234499999996,-41.918415164566596
2205300,Jerumenha,-7.110420612999945,-43.53739660335577
2205359,João Costa,-8.551388379499969,-42.434511083424084
2205409,Joaquim Pires,-3.51462621799996,-42.099018242186915
2205458,Joca Marques,-3.540896499999975,-42.424516264634875
2205508,José de Freitas,-4.69202976899996,-42.52347653203341
2205516,Juazeiro do Piauí,-4.968283585999956,-41.56253923691057
2205524,Júlio Borges,-10.420279753500001,-44.17863933544816
2205532,Jurema,-9.056228707999935,-43.180161801563756
2205557,Lagoa Alegre,-4.485472094499954,-42.56092420450922
2205573,Lagoa de São Francisco,-4.3562784534999555,-41.58449238538884
2205565,Lagoa do Barro do Piauí,-8.559246244499946,-41.60464249049208
2205581,Lagoa do Piauí,-5.449814753499934,-42.62450747943533
2205599,Lagoa do Sítio,-6.49467976349996,-41.52324259051312
2205540,Lagoinha do Piauí,-5.809306295999935,-42.62376522784545
2205607,Landri Sales,-7.332206874499945,-43.938591425316105
2205706,Luís Correia,-3.10734100949995,-41.44152915459735
2205805,Luzilândia,-3.5980937084999347,-42.31941031699655
2205854,Madeiro,-3.55546949999996,-42.51129878300747
2205904,Manoel Emídio,-8.18951761299996,-43.96908355115111
2205953,Marcolândia,-7.41654849999995,-40.72862136645554
2206001,Marcos Parente,-7.078318540999955,-43.89283423115121
2206050,Massapê do Piauí,-7.53557943399997,-41.10706360521972
2206100,Matias Olímpio,-3.70283374799996,-42.5928616408506
2206209,Miguel Alves,-4.20425282099995,-42.80037149061557
2206308,Miguel Leão,-5.7099627179999555,-42.64031265617285
2206357,Milton Brandão,-4.72414582549996,-41.51209859722617
2206407,Monsenhor Gil,-5.61509579349996,-42.60989744696559
2206506,Monsenhor Hipólito,-6.934014364499944,-41.03342977365993
2206605,Monte Alegre do Piauí,-9.57298195349995,-44.96502045003808
2206654,Morro Cabeça no Tempo,-9.76184452849995,-43.95207416152779
2206670,Morro do Chapéu do Piauí,-3.69602599999996,-42.261691620378414
2206696,Murici dos Portelas,-3.361938423499965,-42.04177868921459
2206704,Nazaré do Piauí,-7.06214114499997,-42.77433242162881
2206720,Nazária,-5.43910975749995,-42.851110689964464
2206753,Nossa Senhora de Nazaré,-4.6380920474999545,-42.173568434184716
2206803,Nossa Senhora dos Remédios,-4.01625842849998,-42.60897159775094
2207959,Nova Santa Rita,-8.116380847999949,-42.00767979844605
2206902,Novo Oriente do Piauí,-6.476568263499955,-41.9554321427768
2206951,Novo Santo Antônio,-5.287259768499981,-41.91399127609783
2207009,Oeiras,-6.96754089149994,-42.20310740701223
2207108,Olho D'Água do Piauí,-5.823040059999955,-42.56870665220471
2207207,Padre Marcos,-7.384964453499945,-40.869573082023464
2207306,Paes Landim,-7.834311478499955,-42.28277307358209
2207355,Pajeú do Piauí,-7.87334387349995,-42.79634712101698
2207405,Palmeira do Piauí,-8.515747589499966,-44.51626752487772
2207504,Palmeirais,-5.838209020999955,-42.976420966856246
2207553,Paquetá,-7.15938299749996,-41.68366086166449
2207603,Parnaguá,-10.31189004299995,-44.54583640408769
2207702,Parnaíba,-2.940327295499945,-41.73925452002007
2207751,Passagem Franca do Piauí,-5.895990999999954,-42.41085870530134
2207777,Patos do Piauí,-7.661464663999965,-41.255912011656065
2207793,Pau D'Arco do Piauí,-5.24259364499994,-42.4690441482001
2207801,Paulistana,-8.127830824499942,-41.230574519786416
2207850,Pavussu,-7.91368036899996,-43.32175825689168
2207900,Pedro II,-4.53274884049995,-41.459717107127844
2207934,Pedro Laurentino,-8.090449671499954,-42.280717328315944
2208007,Picos,-7.04652514999995,-41.49724076458908
2208106,Pimenteiras,-6.400096520499945,-41.100432429934685
2208205,Pio IX,-6.765840752999965,-40.732907095556996
2208304,Piracuruca,-3.859490107499965,-41.611547744761744
2208403,Piripiri,-4.358097078999945,-41.84449732807645
2208502,Porto,-3.9446137049999352,-42.70766489617483
2208551,Porto Alegre do Piauí,-6.98176976149995,-44.10384648132002
2208601,Prata do Piauí,-5.723758843999975,-42.168887517860185
2208650,Queimada Nova,-8.50761953449995,-41.32091304952353
2208700,Redenção do Gurguéia,-9.525650767499965,-44.413174222824836
2208809,Regeneração,-6.35875990849996,-42.46693749032245
2208858,Riacho Frio,-9.934426499999946,-44.7987381910136
2208874,Ribeira do Piauí,-7.926128938999939,-42.641770716803464
2208908,Ribeiro Gonçalves,-8.056414162499951,-45.44120821552906
2209005,Rio Grande do Piauí,-7.79104833949995,-43.1518732237179
2209104,Santa Cruz do Piauí,-7.22723054399995,-41.756589342289786
2209153,Santa Cruz dos Milagres,-5.914957844999975,-41.81929998980484
2209203,Santa Filomena,-8.97227247349997,-45.737723093071914
2209302,Santa Luz,-9.063951558999944,-44.083354046763944
2209351,Santana do Piauí,-6.919195499999975,-41.491700834671164
2209377,Santa Rosa do Piauí,-6.813490271999941,-42.24257818233614
2209401,Santo Antônio de Lisboa,-6.879778765499935,-41.18203754423219
2209450,Santo Antônio dos Milagres,-6.050886910999935,-42.706882482202104
2209500,Santo Inácio do Piauí,-7.45218723749994,-42.03395881515948
2209559,São Braz do Piauí,-8.90316699999994,-43.02602951601941
2209609,São Félix do Piauí,-5.921550796499956,-42.11656647580405
2209658,São Francisco de Assis do Piauí,-8.196886940999946,-41.584747860658965
2209708,São Francisco do Piauí,-7.194822736999955,-42.509024766939845
2209757,São Gonçalo do Gurguéia,-10.1183085,-45.304598793137636
2209807,São Gonçalo do Piauí,-6.019022596999945,-42.66723608034954
2209856,São João da Canabrava,-6.722638513999955,-41.38082182819859
2209872,São João da Fronteira,-3.9287090129999447,-41.31159373140261
2209906,São João da Serra,-5.54599699749994,-41.885562604728264
2209955,São João da Varjota,-6.9489958829999505,-41.900526866789164
2209971,São João do Arraial,-3.82118099999997,-42.4634628526272
2210003,São João do Piauí,-8.33319638149996,-42.25375028880997
2210052,São José do Divino,-3.7813568234999497,-41.83374261635494
2210102,São José do Peixe,-7.514387278999975,-42.52429475535204
2210201,São José do Piauí,-6.78779079749998,-41.49281442625353
2210300,São Julião,-7.073027846999965,-40.82663743776562
2210359,São Lourenço do Piauí,-9.175021999999956,-42.570168901957004
2210375,São Luis do Piauí,-6.77240281899995,-41.25499569412321
2210383,São Miguel da Baixa Grande,-5.802780499999955,-42.27492580677591
2210391,São Miguel do Fidalgo,-7.588627151499965,-42.342401277193844
2210409,São Miguel do Tapuio,-5.7864683939999395,-41.57201370823074
2210508,São Pedro do Piauí,-5.83989453749996,-42.7591620564247
2210607,São Raimundo Nonato,-9.025187999999961,-42.64687053710183
2210623,Sebastião Barros,-10.6651732534999,-44.86148168783883
2210631,Sebastião Leal,-7.84592853349997,-44.111324352485305
2210656,Sigefredo Pacheco,-4.949002965499975,-41.78942089921654
2210706,Simões,-7.70557466849996,-40.71964592057135
2210805,Simplício Mendes,-7.77966290099994,-42.026026601418636
2210904,Socorro do Piauí,-7.8815163269999555,-42.446826703532935
2210938,Sussuapara,-7.00323405299994,-41.37722747198359
2210953,Tamboril do Piauí,-8.485100282499955,-43.04367078002146
2210979,Tanque do Piauí,-6.633699397499949,-42.28323404966565
2211001,Teresina,-5.18636894099993,-42.69918757617912
2211100,União,-4.624159289499939,-42.76676797342951
2211209,Uruçuí,-7.797324375499955,-44.57548247418379
2211308,Valença do Piauí,-6.3855610354999595,-41.76796211851973
2211357,Várzea Branca,-9.287741367499965,-42.81526376420966
2211407,Várzea Grande,-6.55430899999996,-42.232401376936835
2211506,Vera Mendes,-7.6002667419999455,-41.527812594402384
2211605,Vila Nova do Piauí,-7.208163056499959,-40.92840073007636
2211704,Wall Ferraz,-7.2709099999999545,-41.8896256164773
